trade_date,high,low,volume,amount
20230102,52.37,51.78,2845052,147942704
20230103,51.55,50.75,5624297,286648434
20230104,51.77,50.49,4661355,237340088
20230105,50.52,50.25,5705299,287337985
20230106,52.36,51.96,4970627,258609785
20230109,51.99,51.76,1947094,101006583
20230110,51.03,49.89,2134954,107997094
20230111,49.48,48.33,2149700,105783139
20230112,49.76,49.15,4074159,202029573
20230113,50.54,48.56,2909035,144003014
20230116,48.97,48.20,2282640,110769526
20230117,49.22,48.31,3805709,187116985
20230118,49.68,49.24,3269953,162453245
20230119,51.46,50.59,1616690,81855317
20230120,50.54,49.43,1078119,54409364
20230123,50.08,48.89,5806632,288663919
20230124,50.66,49.96,2105526,106230702
20230125,51.75,50.81,3704861,188548035
20230126,51.51,51.01,3979974,204722770
20230127,51.84,50.98,1048794,54131736
20230130,50.83,50.59,3424646,173867791
20230131,50.16,48.95,2106810,103712940
20230201,50.81,50.24,4619070,233437114
20230202,50.15,49.45,4133419,205553456
20230203,50.62,49.57,5772723,286523803
20230206,50.68,50.28,5126595,259004059
20230207,51.53,50.52,5004842,255441503
20230208,50.72,49.91,3598798,181492142
20230209,51.33,50.03,4985931,251640949
20230210,52.07,51.22,1768032,90961035
20230213,51.40,50.19,5512136,281212401
20230214,50.04,48.34,3224020,159774843
20230215,49.37,48.31,2106409,103652436
20230216,47.69,46.77,3458143,164635661
20230217,48.87,47.90,2301304,112339194
20230220,49.13,48.22,5208922,252888441
20230221,47.94,47.70,5475019,262283090
20230222,46.47,46.05,2837208,130810668
20230223,46.71,45.97,4239781,197651875
20230224,46.57,46.19,2858938,133064577
20230227,46.50,46.43,4013847,186585198
20230228,47.02,46.47,4334718,203434391
20230301,46.41,45.66,1805321,83699100
20230302,46.20,45.96,5767171,266038508
20230303,47.01,46.30,4511872,211613860
20230306,47.59,47.19,4135860,195252043
20230307,49.03,47.74,3279243,158159954
20230308,47.67,47.37,5168664,246308970
20230309,47.66,46.30,5025410,236841087
20230310,47.01,45.94,5097551,237088382
20230313,46.63,45.79,3099348,144425776
20230314,46.68,45.86,2821608,130208775
20230315,45.08,44.78,2188723,98347336
20230316,46.29,45.85,2215193,101567858
20230317,46.92,45.95,5115878,236194768
20230320,47.83,46.81,1431701,67171935
20230321,44.90,44.41,3089589,138705423
20230322,45.93,45.02,1763957,79709844
