trade_date,high,low,volume,amount
20230102,30.14,29.92,5664654,169939620
20230103,30.34,29.55,5089728,153476070
20230104,30.12,29.66,5843475,174639997
20230105,30.46,29.77,2751534,83604652
20230106,30.22,30.10,5604497,169288848
20230109,29.84,29.67,3853029,114483721
20230110,30.78,30.02,3291348,99043660
20230111,30.38,30.21,3190717,96501371
20230112,31.34,30.22,5921270,180681403
20230113,30.47,30.06,1105997,33436177
20230116,30.40,30.39,1172565,35640856
20230117,30.49,29.60,2144482,64716129
20230118,30.29,29.28,1217098,36238910
20230119,29.61,29.21,5858081,172905541
20230120,29.91,29.48,3051144,90811904
20230123,29.94,29.86,5068368,151551710
20230124,31.14,30.41,4299360,131604905
20230125,31.24,30.82,4057912,125667238
20230126,31.30,30.54,4976445,152925257
20230127,31.40,30.60,3474444,107263399
20230130,30.58,30.16,3410324,104024816
20230131,30.63,30.48,5242165,160065075
20230201,30.54,30.09,2342559,70758665
20230202,30.26,29.57,5960179,177576254
20230203,29.75,29.40,3298865,97684026
20230206,30.22,29.49,1369877,41285489
20230207,29.96,29.42,4223235,124975516
20230208,30.00,29.58,4606429,137084765
20230209,30.13,29.64,5847032,174804674
20230210,29.64,29.44,5678913,168111776
20230213,29.98,29.23,3106780,92235654
20230214,30.14,29.53,4522172,134673164
20230215,31.15,30.48,2056568,63514936
20230216,31.03,30.58,3463027,107264691
20230217,31.00,30.81,1792649,55485631
20230220,32.03,31.58,2278234,72007423
20230221,31.92,31.27,5684252,180241362
20230222,32.69,32.45,3791498,123834672
20230223,32.43,32.13,4585486,148291094
20230224,32.08,31.93,5361136,171931106
20230227,31.38,31.26,1170334,36678980
20230228,30.94,30.67,4873126,150130357
20230301,31.15,30.82,3817335,117859295
20230302,31.12,30.82,5223716,162047262
20230303,31.33,30.43,2796171,86281457
20230306,30.81,30.34,5971584,182503219
20230307,30.32,29.75,2990602,89434562
20230308,30.43,30.07,5621335,170572071
20230309,31.19,30.76,4412480,136789885
20230310,32.00,31.07,4588467,145030641
20230313,32.84,32.69,5642820,184530923
20230314,32.76,32.52,4052995,132772964
20230315,32.25,32.18,1962986,63265024
20230316,31.67,31.05,1950283,60674667
20230317,31.15,30.44,3289679,100287903
20230320,30.33,30.22,2912582,88214805
20230321,30.74,30.05,2747282,83858711
20230322,30.56,30.05,3809459,114917760
20230323,29.37,29.26,4292672,125635572
20230324,29.74,29.23,5290884,157095740
20230327,30.45,30.08,4114523,124791362
20230328,30.09,29.24,5543965,165251039
20230329,30.80,30.02,5914763,178950021
20230330,29.20,28.87,5028336,146639201
20230331,29.55,29.21,2220494,65114194
20230403,28.45,28.19,5305799,150230704
20230404,27.88,27.76,3456475,96137314
20230405,28.18,27.84,4074901,114240063
20230406,28.47,27.64,3690529,103306545
20230407,28.84,28.48,3160534,90567050
20230410,28.72,28.27,2364159,67117302
20230411,28.92,28.60,5757865,165508866
20230412,29.78,28.77,1884300,55017117
