trade_date,high,low,volume,amount
20230102,48.38,47.86,3121743,149843664
20230103,47.75,47.53,1658773,78876130
20230104,47.81,47.38,1620118,76991134
20230105,48.70,48.14,1503860,72944169
20230106,48.38,47.30,2073502,99979987
20230109,46.96,46.45,1253181,58623861
20230110,46.90,45.73,2367823,108692693
20230111,47.03,46.30,4589555,215453527
20230112,48.05,47.45,2728601,129979925
20230113,47.84,47.67,3863997,184473609
20230116,48.87,47.73,1986061,95912686
20230117,48.86,47.65,2430761,116175643
20230118,49.72,48.15,4307584,210505899
20230119,50.05,49.82,1512266,75543193
20230120,49.86,49.21,1625446,80534459
20230123,49.42,48.19,5539345,273655514
20230124,50.04,49.22,2681738,133474988
20230125,50.32,49.66,4439093,220481249
20230126,50.44,49.70,1354081,67962978
20230127,49.42,48.98,3859967,190329722
20230130,49.43,49.05,4999873,246548802
20230131,50.43,49.01,4556251,226465012
20230201,50.37,49.70,2074999,103870366
20230202,51.13,50.36,1309189,66659907
20230203,50.67,49.68,4321117,216542425
20230206,52.12,50.84,5196026,266957041
20230207,52.66,52.24,5943536,310622083
20230208,51.59,51.42,3909144,201497519
20230209,51.92,51.13,1106476,57315998
20230210,52.23,51.47,4967182,259381037
20230213,52.27,50.41,4997118,255398433
20230214,51.41,49.34,2962009,149372945
20230215,51.03,50.23,2511984,127444660
20230216,49.65,48.98,5509922,271981536
20230217,50.17,48.29,4509129,220911756
20230220,49.02,48.64,4843198,236953210
20230221,49.22,48.44,4419007,214921434
20230222,50.19,49.01,4105804,202518914
20230223,49.79,49.12,4875113,241169264
20230224,49.39,49.01,1117072,54926587
20230227,50.84,50.28,2534218,127793052
20230228,50.43,49.70,1645763,82484775
20230301,49.90,49.09,3048735,152061219
20230302,49.07,48.90,4007334,196472593
20230303,50.06,49.31,1255514,62148594
20230306,49.16,48.89,2393843,117168202
20230307,49.31,48.17,2805778,137567312
20230308,49.15,47.75,1225264,59821789
20230309,48.46,47.88,4475439,216098842
20230310,49.60,48.00,4170844,204398167
20230313,49.57,48.70,2550252,124949974
20230314,48.16,47.25,4726240,225365467
20230315,47.73,47.35,1398032,66659580
20230316,47.72,46.69,1553656,72676111
20230317,48.46,47.30,1974368,94775404
20230320,47.39,47.13,2950484,139164481
20230321,47.14,46.43,5927846,277971968
20230322,47.26,46.87,5980719,280833140
20230323,47.98,47.25,3293895,156786098
20230324,46.97,45.95,2889944,133839128
20230327,46.23,45.68,1780810,82108393
20230328,47.03,46.72,5054980,236978576
20230329,48.63,47.69,4607982,221257488
20230330,48.68,47.99,5449412,263163734
20230331,48.17,47.60,2884173,138928701
20230403,48.03,47.62,4925644,235721194
20230404,48.55,46.45,1574724,74729059
20230405,49.66,48.86,5882343,288548285
20230406,50.48,49.89,5871257,295000228
20230407,50.70,49.59,3840098,193048231
20230410,51.39,50.73,3827109,195438085
20230411,50.94,50.55,2097409,106515325
20230412,50.73,49.73,2376340,118338909
20230413,51.93,50.47,5231018,269239043
20230414,50.43,49.76,4114884,206830087
20230417,50.36,49.68,1040180,51932950
20230418,50.95,50.01,5986913,299441373
20230419,50.89,49.89,2307284,115948028
20230420,50.11,49.83,5172753,258117630
20230421,49.79,49.52,3125845,154935312
20230424,50.31,49.97,3719277,185884008
20230425,50.35,50.17,1938639,97383150
20230426,50.08,49.52,4978224,247886905
20230427,50.22,49.93,1676615,84116015
20230428,49.61,49.17,1094561,53966937
20230501,48.64,47.25,4587261,221920636
20230502,48.09,46.59,1343399,63980557
20230503,48.05,47.33,4518397,214090633
20230504,48.82,47.30,4726284,225751682
20230505,47.78,47.71,4817629,229933429
20230508,46.82,46.53,2695855,125981543
20230509,46.53,45.84,3637662,168627646
20230510,47.25,46.15,4914321,228958576
20230511,47.92,46.45,5437776,255598879
20230512,47.90,47.38,4310032,205466987
20230515,47.66,47.20,4976882,235998175
20230516,47.10,46.32,1510499,70832770
20230517,48.31,47.32,1106676,52772669
20230518,47.96,47.42,2922165,139605571
20230519,48.01,47.38,2079387,99641711
20230522,49.90,48.60,2498673,122730501
20230523,49.16,48.65,4595356,224633279
20230524,48.38,47.55,5855467,281456129
20230525,49.91,48.88,3518639,172527769
20230526,49.91,48.93,4687859,232444681
20230529,48.70,48.24,5837075,282317345
20230530,48.74,48.28,3436373,167163896
20230531,48.98,48.20,3153477,153793691
20230601,48.83,47.90,2536168,122733313
20230602,48.82,48.02,1401410,67505256
20230605,49.34,48.20,2281207,111956661
20230606,49.78,48.52,1525021,75408819
20230607,49.93,49.63,5363125,266723508
20230608,49.82,49.61,5027571,249873948
20230609,49.61,48.92,5754602,284711945
20230612,49.98,49.27,4073551,201633873
20230613,50.30,49.29,3618733,180617762
20230614,50.96,50.46,2719656,138422319
20230615,50.76,49.75,2266132,113822758
20230616,50.52,49.45,5940661,298823046
20230619,49.38,48.79,5167025,252780928
20230620,50.11,48.54,4398136,216238997
20230621,51.19,50.16,1914615,96730463
20230622,50.13,49.78,5134723,257073620
20230623,50.67,49.50,5924358,300136014
20230626,51.25,51.13,1399024,71651517
20230627,51.97,51.39,2359589,121595579
20230628,51.15,50.42,3650906,184409909
20230629,52.17,51.37,2043535,105191199
20230630,51.09,50.56,4493218,228569715
20230703,50.91,50.40,5491592,279546756
20230704,50.46,50.28,2941793,148299010
20230705,50.54,49.68,3775942,188912563
20230706,50.40,49.98,3350129,168539899
20230707,49.81,49.44,3889663,193306572
20230710,50.86,49.80,2263541,112893927
20230711,51.01,49.94,4539526,229761245
20230712,50.22,49.18,2955096,146810459
20230713,49.55,48.57,4208990,206926428
20230714,49.42,49.00,2163823,106102352
20230717,50.20,49.57,3985315,199105225
20230718,50.08,48.97,3254515,161656440
20230719,49.93,48.33,3786713,186518167
20230720,49.02,47.93,2597473,127222387
20230721,50.57,49.63,1157337,57540526
20230724,50.33,49.62,1410593,70311221
20230725,49.55,49.04,2007747,99332992
20230726,49.51,49.05,3157007,155705042
20230727,51.26,50.87,5205152,265045527
20230728,51.30,49.63,2856477,145309634
20230731,51.61,49.69,5839289,297075241
20230801,49.46,48.28,2328454,113843515
20230802,48.81,47.37,1562347,75567111
20230803,47.50,46.45,2995903,141127343
20230804,47.11,46.69,3361316,158042911
20230807,47.39,46.97,3990593,188371324
20230808,46.97,46.58,3858604,180848164
20230809,47.28,46.73,3138740,147597775
20230810,47.17,46.47,3471704,162852900
20230811,48.51,47.61,2336559,111784930
20230814,48.81,47.87,5755529,278666537
20230815,48.87,46.59,2390021,113398797
20230816,48.61,48.00,4450691,214423889
20230817,47.59,47.02,1443179,68355901
20230818,48.56,47.30,5706193,272674220
20230821,47.03,46.38,1967974,91890827
20230822,46.68,46.06,5687481,263937459
20230823,48.24,46.50,5047961,240478931
20230824,46.67,46.09,2503282,115515182
20230825,45.03,44.53,1625144,72385224
20230828,46.37,45.54,3306469,151241116
20230829,47.15,46.66,3587065,167919945
20230830,47.44,46.62,1873434,88296330
20230831,47.00,46.90,5420149,254472878
20230901,47.19,46.66,3766983,176397126
20230904,47.08,46.02,1003002,46755749
20230905,47.85,47.64,3176455,151572815
20230906,48.62,48.11,5478660,265478960
20230907,48.66,48.33,2876602,139936855
20230908,48.91,48.14,1159069,56136622
20230911,49.07,47.43,2201405,105645805
20230912,47.95,47.18,3187026,152335892
20230913,47.88,47.70,4705623,224700116
20230914,48.11,47.45,2237179,107303532
20230915,48.63,47.97,3953774,190505785
20230918,48.42,46.75,3496372,165984577
20230919,47.52,46.93,3067538,145608447
20230920,48.14,47.06,1011937,48282966
20230921,47.54,46.41,4846665,225973079
20230922,47.00,46.44,3504936,163463950
20230925,46.74,46.40,2122463,98796347
20230926,44.50,44.32,5731990,254619258
20230927,45.77,44.50,3044374,135971067
20230928,44.26,43.58,1573383,68865542
20230929,43.75,43.03,3693774,161002491
20231002,43.83,43.54,4481816,195929126
20231003,43.47,43.13,5854769,253827212
20231004,44.25,43.92,2672558,117554545
20231005,44.16,43.59,1657065,72823662
20231006,42.26,41.29,5890792,246685329
20231009,41.98,41.45,4411663,184248616
20231010,43.16,42.58,1773245,75816440
20231011,43.89,42.82,4165852,179542224
20231012,43.86,43.55,2133181,93510274
20231013,45.51,44.57,2802143,125331703
20231016,44.63,44.17,3849560,170540078
20231017,45.41,45.18,3393345,153869944
20231018,44.60,43.84,2533366,112257368
20231019,44.82,44.28,3673584,162883359
20231020,45.36,45.09,1840465,83322306
20231023,45.17,44.66,5697004,254531573
20231024,45.56,44.25,4946925,221415994
20231025,45.04,44.07,1622667,71888641
20231026,45.08,44.38,3591175,159478342
20231027,43.68,43.30,5545271,240916221
20231030,44.42,43.54,5891033,258055051
20231031,44.81,43.74,2162444,96190724
20231101,43.85,43.72,4079695,178638189
20231102,44.46,43.73,1499494,65842482
20231103,44.14,43.51,3115962,136446535
20231106,43.79,43.28,5742164,249992192
20231107,45.11,44.39,1165948,51996607
20231108,43.91,43.26,2948414,128152433
20231109,43.98,43.05,1473332,64357326
20231110,44.15,43.51,3920409,171618756
20231113,43.75,43.12,2415248,104191137
20231114,43.49,43.20,3188801,137849865
20231115,42.77,42.24,5315383,226449329
20231116,43.48,42.87,5330380,228689046
20231117,43.23,42.79,1403316,60075257
20231120,43.59,43.08,2994083,130250845
20231121,43.77,42.61,2657336,114535630
20231122,43.74,43.42,4004108,174353011
20231123,44.06,43.63,4998821,218756677
20231124,43.53,42.35,4393748,188697670
20231127,44.53,43.54,5948008,263043161
20231128,44.44,43.72,4140233,181816673
20231129,44.58,44.08,5012274,221850269
20231130,44.07,43.21,2704034,118530302
20231201,44.18,43.39,5811129,253642859
20231204,43.22,42.60,1516313,65097925
20231205,43.76,43.27,5783305,250295845
20231206,43.75,42.97,1459138,63630719
20231207,44.48,43.72,1586150,70227044
20231208,44.80,44.17,2714615,120687854
20231211,44.44,44.24,2258474,99968100
20231212,44.36,43.98,4244723,187188251
20231213,44.62,43.36,3934937,172298910
20231214,44.11,42.98,1280060,55562379
20231215,45.05,42.98,3342558,145717848
20231218,43.92,43.23,4422303,193534723
20231219,44.06,43.16,3767748,163728118
