trade_date,high,low,volume,amount
20230102,18.09,17.97,5486132,98750376
20230103,18.32,17.78,2616638,47585511
20230104,18.06,17.83,2297229,41386778
20230105,18.55,18.11,1901939,34595652
20230106,17.67,17.54,5291615,92844293
20230109,17.57,17.31,4957647,86160450
20230110,17.81,17.73,1532719,27277362
20230111,17.90,17.53,2080771,36873417
20230112,18.07,17.78,3844473,68675182
20230113,17.63,17.54,3001366,52853658
20230116,18.01,17.72,5791068,104090726
20230117,18.42,18.06,3956033,72067690
20230118,18.61,18.45,4370131,81037005
20230119,18.55,18.10,3325778,61355174
20230120,18.67,18.58,5803320,107879948
20230123,18.40,18.14,1976806,36265402
20230124,18.49,18.34,3767949,69581164
20230125,18.18,17.87,4610334,82608408
20230126,18.08,18.04,4082670,73733911
20230127,18.57,18.06,1006322,18351600
20230130,18.27,17.77,4401332,79873384
20230131,18.77,18.48,2300867,42626984
20230201,18.52,18.38,5733426,106084841
20230202,19.12,18.94,5791872,110065609
20230203,18.93,18.78,3324437,62757894
20230206,18.92,18.56,4647064,86765437
20230207,18.86,18.54,4286224,79905144
20230208,19.89,19.44,1104078,21636782
20230209,19.32,18.99,1347174,25770022
20230210,19.06,19.00,1024343,19496947
20230213,19.01,18.78,1763447,33397878
20230214,19.39,18.85,4761940,91235322
20230215,19.08,18.70,1810088,33896673
20230216,19.67,19.10,1722380,33227717
20230217,18.89,18.74,1606125,30122548
20230220,19.61,18.73,2658954,51090116
20230221,19.26,19.01,4311803,82565817
20230222,19.08,18.86,3282333,61964826
20230223,19.34,18.89,4331883,82748840
20230224,18.66,18.56,2935347,54667458
20230227,18.81,18.56,2045316,38074470
20230228,18.29,18.20,2100060,38335960
20230301,18.12,17.55,1888529,33795451
20230302,17.63,17.44,2628223,46108792
20230303,17.61,17.31,4538988,79499455
20230306,17.99,17.90,5955888,107047219
20230307,18.03,17.80,5258190,93965044
20230308,18.40,18.24,2275584,41535288
20230309,18.12,18.00,1767669,31959936
20230310,18.43,18.19,5209161,95257259
20230313,18.76,18.42,4919863,90983548
20230314,18.57,18.35,3452161,63671354
20230315,18.78,18.64,1125490,20999825
20230316,18.86,18.60,5871187,110134535
20230317,18.91,18.74,2547845,48056393
20230320,18.44,18.33,4395396,80770924
20230321,18.66,18.39,2379011,43866276
20230322,18.99,18.66,5607803,106163517
20230323,18.58,18.14,2613854,48059889
20230324,18.48,18.05,1398352,25661467
20230327,18.43,18.30,5194236,95229169
20230328,18.43,18.31,2896131,53211098
20230329,18.53,18.46,2252171,41590672
20230330,18.65,18.55,4758857,88690087
20230331,18.76,18.46,1963411,36247575
20230403,18.69,18.36,1647106,30334695
20230404,18.25,17.93,2852736,51703031
20230405,17.99,17.49,3899169,68899598
20230406,17.51,17.21,5702333,99308142
20230407,17.38,17.00,3754803,65197691
20230410,17.48,17.17,5525986,95507286
20230411,17.15,16.97,3893863,66692981
20230412,17.01,16.85,2376306,40283634
20230413,17.18,16.95,2897452,49708274
20230414,17.40,17.03,2474326,42388301
20230417,17.32,16.95,3592790,61673181
20230418,18.09,17.58,3025806,53715601
20230419,17.71,17.44,5012707,88538725
20230420,17.97,17.60,5383227,95416842
20230421,17.95,17.77,1673626,29959204
20230424,17.39,17.28,3296762,57130221
20230425,17.48,17.05,3961099,68041185
20230426,17.23,17.09,3688007,63397603
20230427,17.52,17.15,2502187,43418004
20230428,17.27,16.84,1590693,27328689
20230501,17.25,16.79,1019337,17519962
20230502,17.60,17.02,3794025,65521797
20230503,17.59,17.31,2970784,51733676
20230504,17.42,17.23,2323487,40171652
20230505,17.54,17.18,3625402,63350502
20230508,17.69,17.59,1359733,23999725
20230509,17.55,17.25,1078539,18742718
20230510,16.69,16.51,3377577,55858335
20230511,16.71,16.37,4119894,68497649
20230512,17.00,16.92,4641575,78751605
20230515,17.02,16.68,4338651,73358213
20230516,17.58,17.31,2107729,36703474
20230517,17.16,16.99,2788911,47478236
20230518,17.20,17.04,4476208,76363490
20230519,17.41,17.15,1238715,21344380
20230522,17.08,16.84,1699013,28822008
20230523,17.03,16.88,4313969,73055277
20230524,17.13,16.81,4117715,69778832
20230525,17.24,17.07,1843741,31616845
20230526,17.56,17.48,5135284,89837856
20230529,17.92,17.50,5387810,94409995
20230530,17.18,17.03,5124898,88065272
20230531,17.73,17.47,4892717,86091976
20230601,17.83,17.71,4988918,88474639
20230602,18.22,17.78,5030468,90774533
20230605,17.81,17.61,2598785,45783746
20230606,18.20,17.52,2007670,35382974
20230607,17.36,17.19,1678474,28935749
20230608,17.33,16.93,1733821,29649936
20230609,17.40,17.22,3287656,56887079
20230612,17.46,17.32,5445846,95003594
20230613,18.31,17.66,2083808,37091749
20230614,17.57,17.54,1832213,32150251
20230615,18.23,17.71,5944599,106756987
20230616,18.07,17.75,4755403,85538987
20230619,18.37,17.84,1411221,25688179
20230620,18.62,18.06,3780185,69548968
20230621,18.95,18.49,4604548,85269329
20230622,18.62,18.60,2013866,37486405
20230623,18.11,18.05,5867732,106243132
20230626,18.18,17.99,4535588,82433293
20230627,18.19,17.94,2692076,48844696
20230628,18.25,17.82,5976334,107638111
20230629,17.91,17.46,4678562,82797242
20230630,17.57,17.26,5659217,98093875
20230703,17.86,17.57,4287157,76477854
20230704,17.92,17.71,1916481,34014383
20230705,17.70,17.39,1765487,30972790
20230706,17.84,17.55,5961403,105438924
20230707,17.56,17.22,5694218,99315862
20230710,17.26,17.05,3069072,52646960
20230711,17.52,16.97,1130049,19451705
20230712,17.43,17.10,2533483,43474571
20230713,17.34,17.15,4228189,72616276
20230714,17.52,16.91,2924468,50513204
20230717,17.21,17.06,3361393,57409206
20230718,17.17,16.45,3395817,57499223
20230719,17.19,16.78,4341468,73745507
20230720,17.14,16.61,1338732,22628222
20230721,16.88,16.68,4921792,83017933
20230724,17.44,16.80,2744837,46781234
20230725,17.51,16.91,5728912,97856774
20230726,17.43,17.28,3680447,63919463
20230727,17.47,16.94,3921974,67066542
20230728,17.15,17.06,2290528,39135063
20230731,17.03,16.84,2994082,50839181
20230801,16.62,16.56,2904355,48179235
20230802,16.80,16.65,1797417,30045712
20230803,16.72,16.64,1432272,23936004
20230804,16.56,16.36,2106393,34635594
20230807,16.95,16.63,5658310,94275414
20230808,16.90,16.70,1947669,32681437
20230809,17.31,17.01,4677995,80864456
20230810,17.14,16.84,4279664,73254261
20230811,17.04,16.68,4740752,80314599
20230814,16.92,16.79,2290124,38453169
20230815,16.60,16.23,5291987,87483515
20230816,16.39,16.22,5956283,97341831
20230817,16.03,15.79,3359338,53351305
20230818,16.16,15.97,3940502,63034407
20230821,16.06,15.80,5074263,80689464
20230822,16.07,15.85,4823995,76531234
20230823,15.97,15.71,2913610,46117850
20230824,15.52,15.44,3570407,55226350
20230825,15.71,15.42,2500819,39261900
20230828,16.01,15.73,2728052,43309085
20230829,16.29,16.17,4466869,72455883
20230830,16.30,15.89,5248901,84912224
20230831,16.18,16.03,5768072,92604553
20230901,16.08,15.77,2373439,37537552
20230904,15.22,15.11,3894371,59196789
20230905,15.60,15.12,4792213,74325643
20230906,15.51,15.36,5805635,89779258
20230907,15.83,15.53,5090222,80033414
20230908,16.05,15.92,1692855,27021799
20230911,16.27,15.98,3855288,62178978
20230912,16.09,15.84,2267417,36141704
20230913,15.79,15.48,5556631,86859632
20230914,15.84,15.61,1336660,21142836
20230915,15.85,15.76,4757026,75145443
20230918,15.92,15.79,3173321,50326963
20230919,16.37,15.94,2331778,37496421
20230920,16.00,15.54,5778381,91381074
20230921,16.37,15.96,1609173,26181777
20230922,16.35,16.28,1426835,23323524
20230925,16.69,16.58,1894262,31480640
20230926,16.93,16.74,3683382,62173193
20230927,17.07,16.63,4666697,78788476
20230928,16.94,16.48,4888075,81304734
20230929,16.76,16.58,2924680,48857212
20231002,16.77,16.50,3493191,58031534
20231003,16.89,16.76,5325405,89543034
20231004,16.90,16.77,5212828,87793988
20231005,17.00,16.80,3586233,60283783
20231006,17.32,17.19,2561068,44134533
