trade_date,high,low,volume,amount
20230102,16.10,15.86,4805667,76890672
20230103,16.59,16.42,4242675,69902316
20230104,16.39,16.33,4510905,73781415
20230105,16.56,16.00,1005255,16427008
20230106,16.21,15.75,5039557,81494696
20230109,15.99,15.97,3647256,58318353
20230110,16.43,16.28,5389503,87989967
20230111,16.52,16.33,3030452,49538075
20230112,16.46,16.28,3964975,64666606
20230113,16.74,16.45,2644027,43822634
20230116,17.06,16.71,1295941,22078591
20230117,17.37,17.26,5851568,101330079
20230118,17.74,17.43,3120929,54860232
20230119,17.69,17.20,2903859,50530419
20230120,18.04,17.58,2833363,50252797
20230123,18.05,17.95,4495199,80774670
20230124,17.91,17.54,3401812,60224417
20230125,17.76,17.31,5657909,99168294
20230126,17.83,17.60,5742782,101527683
20230127,17.56,17.38,4317508,75188578
20230130,17.18,16.89,2853354,48980845
20230131,17.11,16.78,2737165,46334636
20230201,17.18,17.00,5681204,97069966
20230202,16.92,16.87,2428543,41038194
20230203,17.15,16.77,1694374,28565454
20230206,17.19,16.91,5587432,95009887
20230207,17.62,17.26,4066695,70387636
20230208,17.64,17.57,3223093,56715549
20230209,18.01,17.67,4957829,88307822
20230210,18.20,17.85,3642353,65480173
20230213,17.61,17.30,2773055,48537804
20230214,17.82,17.05,2543638,44525723
20230215,17.96,17.42,2072704,36856347
20230216,18.24,17.84,5778329,104047558
20230217,18.00,17.75,3238627,57958069
20230220,18.33,17.99,4473471,80881716
20230221,18.11,18.06,1349848,24400019
20230222,18.31,17.89,5118666,92770067
20230223,18.16,17.77,5149800,93021455
20230224,18.05,17.79,1083779,19319231
20230227,17.45,17.31,2263049,39401276
20230228,17.20,16.99,1391628,23744928
20230301,17.05,16.87,1513677,25673635
20230302,17.72,17.67,3539469,62634634
20230303,17.45,17.17,3005866,51830458
20230306,17.60,17.20,2268397,39432498
20230307,17.96,17.58,5788508,102311896
20230308,18.11,17.83,5668442,101639870
20230309,18.09,17.97,4503466,81067952
20230310,18.20,17.98,5104169,92407789
20230313,18.29,18.20,5260366,95931635
20230314,18.31,18.03,4806468,87289305
20230315,18.17,17.91,5730586,103639928
20230316,18.58,18.05,3412807,61814175
20230317,18.19,17.94,1957379,35524947
20230320,18.24,18.06,3777549,68878994
20230321,18.07,18.02,1823642,32918383
20230322,18.60,18.01,3321856,61106405
20230323,18.75,18.35,1199514,22274281
20230324,18.61,18.47,3407989,63032304
20230327,18.25,18.08,5049038,91476428
20230328,18.01,17.61,1914649,34084051
20230329,17.91,17.52,5004038,88622111
20230330,17.98,17.60,5852487,103424766
20230331,17.57,17.18,2718572,47447026
20230403,17.69,17.60,1861347,32907827
20230404,17.49,17.33,3791356,65757326
20230405,17.86,17.65,1912672,33841334
20230406,17.30,17.19,4574609,78977637
20230407,17.54,17.31,1473757,25697678
20230410,17.39,17.06,3247422,55772694
