trade_date,high,low,volume,amount
20230102,62.44,61.72,4854010,300948620
20230103,63.80,63.10,1896907,120014517
20230104,64.19,62.87,2816339,179272354
20230105,63.42,62.64,4188420,265019447
20230106,63.21,62.22,5233884,330385814
20230109,65.57,64.88,4740000,309763082
20230110,65.99,65.58,5118163,336795536
20230111,66.19,63.58,1213305,79018038
20230112,65.70,64.50,2015213,132188638
20230113,65.72,64.47,1544358,99585751
20230116,63.50,61.46,2920443,182643544
20230117,61.91,61.56,1505248,92886418
20230118,64.90,63.69,3596067,229583476
20230119,63.86,61.68,3992054,251203596
20230120,65.56,65.00,2290837,149279605
20230123,66.36,64.92,1618698,105289847
20230124,64.67,63.94,2264073,146218036
20230125,65.70,65.01,3286963,213683944
20230126,66.07,64.43,2274841,147435611
20230127,66.10,64.77,3997472,263555717
20230130,67.18,65.70,5963402,397516330
20230131,67.95,65.93,1486526,99428006
20230201,68.38,66.26,3112778,208166554
20230202,68.77,68.03,1450313,99270246
20230203,69.14,67.46,2069470,140645620
20230206,69.62,66.94,3412264,231164315
20230207,66.84,66.38,3660938,244599254
20230208,66.61,66.21,3166843,209799133
20230209,67.61,65.10,3906519,261091675
20230210,66.71,65.94,5915598,390934123
20230213,66.87,65.83,1144297,75612511
20230214,67.39,66.59,3091012,206727018
20230215,68.68,67.22,4241645,286103757
20230216,69.56,68.02,1249756,86194674
20230217,70.05,67.79,5244815,365006224
20230220,69.95,69.41,1503728,105043198
20230221,71.56,70.54,4766095,336937304
20230222,69.54,69.12,5193634,359319564
20230223,70.43,69.50,3518015,245956359
20230224,71.00,69.71,5578402,395725746
20230227,69.87,68.65,4035173,279437107
20230228,71.46,68.78,2341527,162129904
20230301,72.15,70.81,3436815,244621931
20230302,73.29,72.20,5218972,378058189
20230303,72.01,71.77,2158904,155059487
20230306,74.32,72.89,2149416,157519106
20230307,73.34,72.53,3813996,277322407
20230308,73.46,72.58,1803342,131222852
20230309,74.70,72.92,5886796,433070051
20230310,74.57,72.53,4910885,362471286
20230313,73.26,72.99,2562685,187422866
20230314,76.09,75.93,2668416,202739091
20230315,76.05,74.56,5267032,395427660
20230316,77.21,74.96,4881152,366493166
20230317,75.04,74.23,4668373,347652761
20230320,76.99,76.18,3626320,277022026
20230321,77.83,76.33,1274523,98777397
20230322,78.64,77.56,2348286,182467958
20230323,78.75,77.15,1823431,143457678
20230324,77.14,76.28,2114630,163012748
20230327,77.16,75.94,2086723,159360726
20230328,75.95,75.28,2406139,181221330
20230329,76.17,74.84,5833250,442764800
20230330,75.34,74.13,4845370,361642026
20230331,74.45,73.04,2590172,191679793
20230403,73.85,72.55,5970902,437169696
20230404,73.06,72.06,1198238,86904726
20230405,73.50,72.45,3496935,255512621
20230406,73.19,72.58,2679064,195863141
20230407,73.42,73.13,5700574,417448144
20230410,76.51,73.98,4620882,344902648
20230411,74.86,74.36,3299192,245823836
20230412,75.98,74.21,2677876,201516909
20230413,77.21,75.52,3721069,281765440
20230414,75.77,74.18,3432558,258364906
20230417,76.31,75.63,2912995,222023498
20230418,75.73,74.55,4302039,322713039
20230419,72.61,70.70,1493442,107372191
20230420,70.82,68.65,1955790,136237043
20230421,70.99,70.28,1130347,79946312
20230424,72.98,71.68,5521607,397607971
20230425,73.71,72.22,1978255,143011918
20230426,71.34,69.46,1709092,118995413
20230427,70.27,68.77,2605284,179757303
20230428,70.82,68.84,3057079,212832564
20230501,69.46,67.57,2184163,151647220
20230502,70.90,70.21,1414939,99626828
20230503,69.50,69.14,2999279,207961920
20230504,69.98,68.86,2528449,174326912
20230505,69.27,68.34,3108013,214971533
20230508,69.53,68.83,2688905,186841319
20230509,69.85,68.65,4560642,317214914
20230510,70.40,70.29,1393766,98068646
20230511,70.83,69.65,2734807,192714441
20230512,71.01,70.38,4523601,318973815
20230515,70.54,67.73,1149376,79920487
20230516,72.14,70.83,1371064,97910244
